Algorithm,Mode,Assets Processed,Success,Failures,Total Time (ms),Min Latency (ms),Max Latency (ms),Avg Latency (ms),Std Dev Latency (ms),Peak CPU (%),Avg CPU (%),Peak Mem (%),Avg Mem (%),Throughput (assets/sec)
sha256,parallel,100,100,0,532,7.00,109.00,49.48,21.64,100,93.13,16.13,15.22,187.97
sha512,parallel,100,100,0,485,4.00,109.00,65.12,25.74,100,85.81,16.74,15.29,206.19
blake3,parallel,100,100,0,427,7.00,155.00,70.01,28.71,100,95.83,16.84,15.48,234.19
blake2b,parallel,100,100,0,448,4.00,107.00,56.79,21.22,100,80.37,16.87,15.44,223.21
md5,parallel,100,100,0,453,3.00,155.00,57.89,25.09,100,76.00,16.96,15.39,220.75
