Algorithm,Mode,Assets Processed,Success,Failures,Total Time (ms),Min Latency (ms),Max Latency (ms),Avg Latency (ms),Std Dev Latency (ms),Peak CPU (%),Avg CPU (%),Peak Mem (%),Avg Mem (%),Throughput (assets/sec)
sha256,sequential,100,100,0,19759,2.00,10.00,2.60,1.17,4.8,0.84,13.45,13.42,5.06
sha512,sequential,100,100,0,17177,2.00,7.00,2.59,1.09,4,0.86,13.46,13.43,5.82
blake3,sequential,100,100,0,20434,2.00,10.00,4.16,1.75,7,1.18,13.50,13.45,4.89
blake2b,sequential,100,100,0,17828,2.00,11.00,3.12,1.61,8.2,1.01,13.45,13.42,5.61
md5,sequential,100,100,0,20452,2.00,10.00,3.19,1.64,4.9,1.19,13.44,13.41,4.89
