Algorithm,Mode,Assets Processed,Success,Failures,Total Time (ms),Min Latency (ms),Max Latency (ms),Avg Latency (ms),Std Dev Latency (ms),Peak CPU (%),Avg CPU (%),Peak Mem (%),Avg Mem (%),Throughput (assets/sec)
sha256,parallel,10,10,0,182,3.00,10.00,5.70,1.90,6.4,3.77,13.63,13.61,54.95
sha512,parallel,10,10,0,201,3.00,13.00,6.60,2.91,12.1,9.37,13.64,13.64,49.75
blake3,parallel,10,10,0,176,4.00,12.00,6.40,2.06,7.2,3.84,13.69,13.67,56.82
blake2b,parallel,10,10,0,191,4.00,9.00,5.30,1.35,12.8,9.44,13.68,13.66,52.36
md5,parallel,10,10,0,177,4.00,12.00,6.20,2.36,9.4,7.43,13.66,13.64,56.50
