Algorithm,Mode,Assets Processed,Success,Failures,Total Time (ms),Min Latency (ms),Max Latency (ms),Avg Latency (ms),Std Dev Latency (ms),Peak CPU (%),Avg CPU (%),Peak Mem (%),Avg Mem (%),Throughput (assets/sec)
sha256,sequential,10,10,0,1671,2.00,2.00,2.00,0.00,1.6,0.32,13.52,13.51,5.98
sha512,sequential,10,10,0,1752,2.00,5.00,3.10,1.30,1.6,0.80,13.54,13.53,5.71
blake3,sequential,10,10,0,1740,2.00,6.00,3.80,1.47,5.7,1.69,13.55,13.52,5.75
blake2b,sequential,10,10,0,1703,2.00,6.00,2.60,1.28,3.2,0.80,13.54,13.52,5.87
md5,sequential,10,10,0,4443,2.00,5.00,2.70,1.00,12.6,2.93,13.65,13.51,2.25
